Project,Type,Spec,PRs,Status
Toilal-rebulk,project,PyDocs_MustSortBeforeGroupBy,https://github.com/Toilal/rebulk/pull/31,PR Opened
clbarnes-f_it,project,PyDocs_MustSortBeforeGroupBy,https://github.com/clbarnes/f_it/pull/154,PR Opened
kura-blackhole,project,Pydocs_NoReadAfterAccess,https://github.com/kura/blackhole/pull/38,PR Opened
dbcli-mycli,project,Pydocs_NoReadAfterAccess,https://github.com/dbcli/mycli/pull/1203,PR Accepted
manthanmtg-live_differ,project,Pydocs_NoReadAfterAccess,https://github.com/manthanmtg/live_differ/pull/3,PR Opened
snstac-pytak,project,Pydocs_ShouldNotInstantiateStreamWriter,https://github.com/snstac/pytak/pull/86,PR Opened
kura-blackhole,project,Pydocs_ShouldUseStreamWriterCorrectly,https://github.com/kura/blackhole/pull/39,PR Opened
ska-sa-aiokatcp,project,Pydocs_ShouldUseStreamWriterCorrectly,https://github.com/ska-sa/aiokatcp/pull/118,PR Rejected
alengwenus-pypck,project,Pydocs_ShouldUseStreamWriterCorrectly,https://github.com/alengwenus/pypck/pull/126,PR Accepted
kura-blackhole,project,Pydocs_ShouldUseStreamWriterCorrectly,https://github.com/kura/blackhole/pull/37,PR Opened
FrankD412-pyaestro,project,RandomMustUseSeed,https://github.com/FrankD412/pyaestro/pull/23,PR Accepted
K0lb3-UnityPy,project,RandomMustUseSeed,https://github.com/K0lb3/UnityPy/pull/357,PR Opened
RedHatQE-wrapanapi,project,RandomMustUseSeed,https://github.com/RedHatQE/wrapanapi/pull/525,PR Opened
dicomsort-dicomsorter,project,RandomMustUseSeed,https://github.com/dicomsort/dicomsorter/pull/17,PR Opened
Willames-Jr-pygame-pokemon,project,RandomMustUseSeed,https://github.com/Willames-Jr/pygame-pokemon/pull/1,PR Opened
slaclab-lume-model,project,RandomMustUseSeed,https://github.com/slaclab/lume-model/pull/95,PR Accepted
auth0-auth0-python,project,RandomMustUseSeed,https://github.com/auth0/auth0-python/pull/690,PR Accepted
Preia-Starle-casino-war-game,project,RandomMustUseSeed,https://github.com/Preia-Starle/casino-war-game/pull/20,PR Opened
TAMUparametric-PPOPT,project,RandomMustUseSeed,https://github.com/TAMUparametric/PPOPT/pull/73,PR Opened
ConsumrBuzzy-RogueAsteroid,project,RandomMustUseSeed,https://github.com/ConsumrBuzzy/RogueAsteroid/pull/1,PR Accepted
ska-sa-aiokatcp,project,RandomMustUseSeed,https://github.com/ska-sa/aiokatcp/pull/110,PR Opened
myhdl-myhdl,project,RandomMustUseSeed,https://github.com/myhdl/myhdl/pull/454,PR Accepted
MattParr-python-atws,project,Requests_MustCloseSession,https://github.com/MattParr/python-atws/pull/91,PR Opened
OnroerendErfgoed-skosprovider_atramhasis,project,Requests_MustCloseSession,https://github.com/OnroerendErfgoed/skosprovider_atramhasis/pull/141,PR Opened
andr1an-nic-api,project,Requests_MustCloseSession,https://github.com/andr1an/nic-api/pull/40,PR Accepted
SasView-sasdata,project,StringConcatAnalysis,https://github.com/SasView/sasdata/pull/185,PR Opened
SigmaHQ-pySigma,project,StringConcatAnalysis,https://github.com/SigmaHQ/pySigma/pull/436,PR Opened
jgressier-cfdtools,project,StringConcatAnalysis,https://github.com/jgressier/cfdtools/pull/58,PR Opened
mondeja-mkdocs-include-markdown-plugin,project,StringConcatAnalysis,https://github.com/mondeja/mkdocs-include-markdown-plugin/pull/288,PR Accepted
python-periodictable-periodictable,project,StringConcatAnalysis,https://github.com/python-periodictable/periodictable/pull/112,PR Opened
samdmarshall-pbPlist,project,StringConcatAnalysis,https://github.com/samdmarshall/pbPlist/pull/13,PR Opened
paulromano-endf-python,library,StringConcatAnalysis,https://github.com/paulromano/endf-python/pull/30,PR Accepted
edgi-govdata-archiving-web-monitoring-processing,library,StringConcatAnalysis,https://github.com/dateutil/dateutil/pull/1451,PR Opened
JDArmy-TextWatermark,library,StringConcatAnalysis,https://github.com/JDArmy/TextWatermark/pull/27,PR Opened
alvaromc317-asgl,library,StringConcatAnalysis,https://github.com/numpy/numpy/pull/30730,PR Opened
mercedes-benz-selfsupervised_flow,project,TfFunction_NoSideEffect,https://github.com/mercedes-benz/selfsupervised_flow/pull/21,PR Opened
