project,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,memory_usage,total_violations,violations,unique_violations,unique_violations_count,violations_by_location,total_monitors,monitors,total_events,events,end_to_end_start_time,end_to_end_end_time,time_instrumentation_start,time_instrumentation_end,time_create_monitor_end,time_post_run_start,time_post_run_end,pymop_ast_time,pymop_start_time
283375-arcaea-offline,D,3,0,0,0,0,0,17.52,pymop_libs,18.339903849868776,0.0070819854736328125,3.8358642871093753,0.0,22.182850122451782,236156,0,,0,,,22,UnsafeListIterator=1<>Console_CloseReader=1<>WrongTypeAddedAnalysis=1<>Arrays_Comparable=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>StringConcatAnalysis=1<>Console_CloseWriter=1<>BuiltinAllAnalysis=1<>InPlaceSortAnalysis=1<>Thread_OverrideRun=1<>socket_setdefaulttimeout=1<>ItemInList=1<>Console_CloseErrorWriter=1<>socket_create_connection=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>Sets_Comparable=1<>PriorityQueue_NonComparable=1<>RandomRandrange_MustNotUseKwargs=1<>RandomParams_NoPositives=1<>StringStripAnalysis=1<>socket_socket_settimeout=1<>NLTK_regexp_span_tokenize=1,1583406,UnsafeListIterator=for_loop_start=20656<>UnsafeListIterator=end_loop_list_changed=20656<>WrongTypeAddedAnalysis=check_append=273964<>WrongTypeAddedAnalysis=check_insert=273964<>WrongTypeAddedAnalysis=check_extend=273964<>WrongTypeAddedAnalysis=check_add=273964<>WrongTypeAddedAnalysis=check_add_assign=21790<>Arrays_Comparable=invalid_sorted=208<>StringConcatAnalysis=add=21790<>BuiltinAllAnalysis=violation=366004<>InPlaceSortAnalysis=list_used=31815<>InPlaceSortAnalysis=list_sorted=208<>InPlaceSortAnalysis=end_execution=1<>ItemInList=list_contains=750<>Sets_Comparable=invalid_sorted=208<>StringStripAnalysis=strip=3464,1768885618.807925,1768885640.990775,x,1768885621.2826738,1768885621.2897558,x,x,15.865155,1768885620.8863983
283375-arcaea-offline,dynapyt_libs,x,x,x,x,x,x,x,dynapyt_libs,1963.1176283359528,0.0,x,0.0,x,125316,x,x,x,x,x,x,,x,,1768887659.622964,1768887675.6247327,1768885691.8045654,1768887654.9221938,x,x,x,x,x
A-F-V-Refactoring-Agent,original,1,0,0,0,0,0,0.01,original,0.0,0.0,1.175844669342041,0.0,1.175844669342041,74760,x,,x,x,,x,,x,,1768886619.7286448,1768886620.9044895,x,x,x,x,x,x,x
A-F-V-Refactoring-Agent,D,1,0,0,0,0,0,0.01,pymop,4.628529963928223,0.009640693664550781,1.6368888040008545,0.0,6.275059461593628,346228,0,,0,,,25,UnsafeListIterator=1<>Console_CloseReader=1<>WrongTypeAddedAnalysis=1<>Arrays_Comparable=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>Session_DataMustOpenInBinary=1<>StringConcatAnalysis=1<>Console_CloseWriter=1<>BuiltinAllAnalysis=1<>InPlaceSortAnalysis=1<>Thread_OverrideRun=1<>socket_setdefaulttimeout=1<>ItemInList=1<>Console_CloseErrorWriter=1<>socket_create_connection=1<>HostnamesTerminatesWithSlash=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>Sets_Comparable=1<>PriorityQueue_NonComparable=1<>RandomRandrange_MustNotUseKwargs=1<>RandomParams_NoPositives=1<>StringStripAnalysis=1<>socket_socket_settimeout=1<>NLTK_regexp_span_tokenize=1<>Requests_DataMustOpenInBinary=1,1,InPlaceSortAnalysis=end_execution=1,1768886850.275261,1768886856.5503204,x,1768886854.903535,1768886854.9131756,x,x,0.000256,1768886854.7624817
A-F-V-Refactoring-Agent,dynapyt,x,x,x,x,x,x,x,dynapyt,x,0.0,x,0.0,x,-1,x,x,x,x,x,x,,x,,x,x,x,x,x,x,x,x,x
A-F-V-Refactoring-Agent,dylin,1,0,0,0,0,0,0.01,dylin,1.6290299892425537,0.0,1.0122566223144531,0.3379075527191162,2.641286611557007,74844,0,,0,,,x,,x,,1768887008.0663502,1768887009.0786068,1768887006.402451,1768887008.031481,x,1768887009.1153712,1768887009.4532788,x,x
A-F-V-Refactoring-Agent,D,1,0,0,0,0,0,0.14,pymop_libs,41.107325475891116,0.008329153060913086,1.826739389221192,0.0,42.94239401817322,467884,1,WrongTypeAddedAnalysis=1,1,WrongTypeAddedAnalysis=1,/Refactoring-Agent/venv/lib/python3.12/site-packages/click/decorators.py:321:WrongTypeAddedAnalysis=1,25,UnsafeListIterator=1<>Console_CloseReader=1<>WrongTypeAddedAnalysis=1<>Arrays_Comparable=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>Session_DataMustOpenInBinary=1<>StringConcatAnalysis=1<>Console_CloseWriter=1<>BuiltinAllAnalysis=1<>InPlaceSortAnalysis=1<>Thread_OverrideRun=1<>socket_setdefaulttimeout=1<>ItemInList=1<>Console_CloseErrorWriter=1<>socket_create_connection=1<>HostnamesTerminatesWithSlash=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>Sets_Comparable=1<>PriorityQueue_NonComparable=1<>RandomRandrange_MustNotUseKwargs=1<>RandomParams_NoPositives=1<>StringStripAnalysis=1<>socket_socket_settimeout=1<>NLTK_regexp_span_tokenize=1<>Requests_DataMustOpenInBinary=1,1047086,UnsafeListIterator=for_loop_start=10064<>UnsafeListIterator=end_loop_list_changed=10064<>WrongTypeAddedAnalysis=check_append=198636<>WrongTypeAddedAnalysis=check_insert=198636<>WrongTypeAddedAnalysis=check_extend=198636<>WrongTypeAddedAnalysis=check_add=198636<>WrongTypeAddedAnalysis=check_add_assign=3862<>Arrays_Comparable=invalid_sorted=22<>StringConcatAnalysis=add=3862<>BuiltinAllAnalysis=violation=198018<>InPlaceSortAnalysis=list_used=20353<>InPlaceSortAnalysis=list_sorted=22<>InPlaceSortAnalysis=end_execution=1<>ItemInList=list_contains=6211<>Sets_Comparable=invalid_sorted=22<>StringStripAnalysis=strip=41,1768887488.7896721,1768887531.7320662,x,1768887517.7186396,1768887517.7269688,x,x,12.178358,1768887516.1066222
A-F-V-Refactoring-Agent,dynapyt_libs,1,0,0,0,0,0,0.34,dynapyt_libs,5851.038392782211,0.0,29.142665147781372,0.0,5880.181057929993,146928,0,,0,,,x,,x,,1768893511.1973367,1768893540.3400018,1768887652.3095875,1768893503.3479803,x,x,x,x,x
APS-Networks-bfrt-helper,original,129,0,0,0,0,0,0.22,original,0.0,0.0,0.45923399925231934,0.0,0.45923399925231934,32064,x,,x,x,,x,,x,,1769387943.526235,1769387943.985469,x,x,x,x,x,x,x
APS-Networks-bfrt-helper,D,129,0,0,0,0,0,0.23,pymop,1.507003980911255,0.008149385452270508,0.548183244430542,0.0,2.0633366107940674,164424,0,,0,,,26,UnsafeListIterator=1<>Console_CloseReader=1<>CreateWidgetOnSameFrameCanvas=1<>WrongTypeAddedAnalysis=1<>Arrays_Comparable=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>Session_DataMustOpenInBinary=1<>StringConcatAnalysis=1<>Console_CloseWriter=1<>BuiltinAllAnalysis=1<>InPlaceSortAnalysis=1<>Thread_OverrideRun=1<>socket_setdefaulttimeout=1<>ItemInList=1<>Console_CloseErrorWriter=1<>socket_create_connection=1<>HostnamesTerminatesWithSlash=1<>PyDocs_MustOnlyAddSynchronizableDataToSharedList=1<>Sets_Comparable=1<>PriorityQueue_NonComparable=1<>RandomRandrange_MustNotUseKwargs=1<>RandomParams_NoPositives=1<>StringStripAnalysis=1<>socket_socket_settimeout=1<>NLTK_regexp_span_tokenize=1<>Requests_DataMustOpenInBinary=1,3812,UnsafeListIterator=for_loop_start=16<>UnsafeListIterator=end_loop_list_changed=16<>WrongTypeAddedAnalysis=check_append=735<>WrongTypeAddedAnalysis=check_insert=735<>WrongTypeAddedAnalysis=check_extend=735<>WrongTypeAddedAnalysis=check_add=735<>WrongTypeAddedAnalysis=check_add_assign=2<>StringConcatAnalysis=add=2<>BuiltinAllAnalysis=violation=730<>InPlaceSortAnalysis=list_used=57<>InPlaceSortAnalysis=end_execution=1<>ItemInList=list_contains=48,1769388044.7926316,1769388046.8559682,x,1769388046.2285726,1769388046.236722,x,x,0.071063,1769388045.9387853
