project,type,status,spec_name,filename,line,PRs
jgressier-cfdtools,project,PR Opened,StringConcatAnalysis,cfdtools/ic3/_ic3.py,272,https://github.com/jgressier/cfdtools/pull/58
mondeja-mkdocs-include-markdown-plugin,project,PR Accepted,StringConcatAnalysis,src/mkdocs_include_markdown_plugin/directive.py,162,https://github.com/mondeja/mkdocs-include-markdown-plugin/pull/288
mondeja-mkdocs-include-markdown-plugin,project,PR Accepted,StringConcatAnalysis,src/mkdocs_include_markdown_plugin/directive.py,150,https://github.com/mondeja/mkdocs-include-markdown-plugin/pull/288
mondeja-mkdocs-include-markdown-plugin,project,PR Accepted,StringConcatAnalysis,src/mkdocs_include_markdown_plugin/process.py,219,https://github.com/mondeja/mkdocs-include-markdown-plugin/pull/288
mondeja-mkdocs-include-markdown-plugin,project,PR Accepted,StringConcatAnalysis,src/mkdocs_include_markdown_plugin/event.py,577,https://github.com/mondeja/mkdocs-include-markdown-plugin/pull/288
mondeja-mkdocs-include-markdown-plugin,project,PR Accepted,StringConcatAnalysis,src/mkdocs_include_markdown_plugin/event.py,576,https://github.com/mondeja/mkdocs-include-markdown-plugin/pull/288
mondeja-mkdocs-include-markdown-plugin,project,PR Accepted,StringConcatAnalysis,src/mkdocs_include_markdown_plugin/event.py,284,https://github.com/mondeja/mkdocs-include-markdown-plugin/pull/288
mondeja-mkdocs-include-markdown-plugin,project,PR Accepted,StringConcatAnalysis,src/mkdocs_include_markdown_plugin/directive.py,159,https://github.com/mondeja/mkdocs-include-markdown-plugin/pull/288
mondeja-mkdocs-include-markdown-plugin,project,PR Accepted,StringConcatAnalysis,src/mkdocs_include_markdown_plugin/directive.py,160,https://github.com/mondeja/mkdocs-include-markdown-plugin/pull/288
python-periodictable-periodictable,project,PR Opened,StringConcatAnalysis,periodictable/util.py,50,https://github.com/python-periodictable/periodictable/pull/112
samdmarshall-pbPlist,project,False Positive,StringConcatAnalysis,pbPlist/StrParse.py,273,
samdmarshall-pbPlist,project,False Positive,StringConcatAnalysis,pbPlist/pbItem.py,124,
samdmarshall-pbPlist,project,PR Opened,StringConcatAnalysis,pbPlist/StrParse.py,354,https://github.com/samdmarshall/pbPlist/pull/13
zmap-zschema,project,False Positive,StringConcatAnalysis,zschema/keys.py,360,
DocNow-twarc-network,library,False Positive,StringConcatAnalysis,networkx/readwrite/gml.py,774,
DocNow-twarc-network,library,False Positive,StringConcatAnalysis,networkx/readwrite/gml.py,879,
JDArmy-TextWatermark,library,PR Opened,StringConcatAnalysis,textwatermark/template.py,304,https://github.com/JDArmy/TextWatermark/pull/27
K0lb3-UnityPy,library,False Positive,StringConcatAnalysis,UnityPy/streams/EndianBinaryWriter.py,52,
K0lb3-UnityPy,library,False Positive,StringConcatAnalysis,UnityPy/streams/EndianBinaryWriter.py,76,
Parsely-streamparse,library,False Positive,StringConcatAnalysis,thriftpy2/parser/parser.py,423,
alvaromc317-asgl,library,PR Opened,StringConcatAnalysis,numpy/_core/arrayprint.py,809,https://github.com/numpy/numpy/pull/30730
alvaromc317-asgl,library,PR Opened,StringConcatAnalysis,numpy/_core/arrayprint.py,811,https://github.com/numpy/numpy/pull/30730
alvaromc317-asgl,library,PR Opened,StringConcatAnalysis,numpy/_core/arrayprint.py,865,https://github.com/numpy/numpy/pull/30730
alvaromc317-asgl,library,PR Opened,StringConcatAnalysis,numpy/_core/arrayprint.py,913,https://github.com/numpy/numpy/pull/30730
alvaromc317-asgl,library,PR Opened,StringConcatAnalysis,numpy/_core/arrayprint.py,922,https://github.com/numpy/numpy/pull/30730
alvaromc317-asgl,library,PR Opened,StringConcatAnalysis,numpy/_core/arrayprint.py,946,https://github.com/numpy/numpy/pull/30730
alvaromc317-asgl,library,PR Opened,StringConcatAnalysis,numpy/_core/arrayprint.py,952,https://github.com/numpy/numpy/pull/30730
alvaromc317-asgl,library,False Positive,StringConcatAnalysis,cvxpy/utilities/performance_utils.py,65,
edgi-govdata-archiving-web-monitoring-processing,library,PR Opened,StringConcatAnalysis,dateutil/parser/_parser.py,142,https://github.com/dateutil/dateutil/pull/1451
edgi-govdata-archiving-web-monitoring-processing,library,PR Opened,StringConcatAnalysis,dateutil/parser/_parser.py,165,https://github.com/dateutil/dateutil/pull/1451
encypherai-encypher-ai,library,False Positive,StringConcatAnalysis,rich/syntax.py,512,
geohci-edit-types,library,No Longer Maintan,StringConcatAnalysis,mwparserfromhell/nodes/tag.py,85,
geohci-edit-types,library,No Longer Maintan,StringConcatAnalysis,mwparserfromhell/nodes/wikilink.py,46,
geohci-edit-types,library,No Longer Maintan,StringConcatAnalysis,mwparserfromhell/nodes/extras/parameter.py,52,
geohci-edit-types,library,No Longer Maintan,StringConcatAnalysis,mwparserfromhell/nodes/template.py,62,
georgesdimitrov-arvo,library,False Positive,StringConcatAnalysis,music21/prebase.py,232,
georgesdimitrov-arvo,library,False Positive,StringConcatAnalysis,music21/prebase.py,233,
georgesdimitrov-arvo,library,False Positive,StringConcatAnalysis,music21/prebase.py,240,
georgesdimitrov-arvo,library,False Positive,StringConcatAnalysis,music21/tinyNotation.py,1212,
georgesdimitrov-arvo,library,False Positive,StringConcatAnalysis,music21/prebase.py,236,
georgesdimitrov-arvo,library,False Positive,StringConcatAnalysis,music21/prebase.py,239,
hynek-environ-config,library,False Positive,StringConcatAnalysis,botocore/loaders.py,168,
icecube-TFScripts,library,False Positive,StringConcatAnalysis,tensorflow/python/framework/ops.py,6026,
intuit-mastko,library,False Positive,StringConcatAnalysis,moto/iam/utils.py,66,
lsst-ts-ts_xml,library,False Positive,StringConcatAnalysis,lsst/ts/xml/generate_subsystems_doc.py,99,
lsst-ts-ts_xml,library,False Positive,StringConcatAnalysis,lsst/ts/xml/generate_subsystems_doc.py,102,
mlederbauer-glossagen,library,False Positive,StringConcatAnalysis,_pytest/assertion/rewrite.py,264,
mondeja-mkdocs-include-markdown-plugin,library,False Positive,StringConcatAnalysis,markdown/serializers.py,170,
mondeja-mkdocs-include-markdown-plugin,library,False Positive,StringConcatAnalysis,markdown/serializers.py,138,
ombhojane-explainableai,library,False Positive,StringConcatAnalysis,dask/utils.py,888,
paulromano-endf-python,library,PR Opened,StringConcatAnalysis,endf/material.py,162,https://github.com/paulromano/endf-python/pull/30
leezythu-UCTR,project,False Positive,StringStripAnalysis,TAT-QA/tatqa/tatqa_utils.py,142,
benoitc-gunicorn,library,False Positive,StringStripAnalysis,gunicorn/http/message.py,114,
mercedes-benz-selfsupervised_flow,project,PR Opened,TfFunction_NoSideEffect,unsup_flow/tf/relaxed_tf_function_test.py,16,https://github.com/mercedes-benz/selfsupervised_flow/pull/21
amaranth-lang-template-fpga,library,No Longer Maintan,UnsafeDictIterator,jschon/vocabulary/applicator.py,374,
TAMUparametric-PPOPT,library,False Positive,UnsafeDictIterator,numba/core/ssa.py,62,
GitYCC-bert-minimal-tutorial,project,False Positive,WrongTypeAddedAnalysis,utils.py,28,
OnroerendErfgoed-skosprovider_rdf,project,False Positive,WrongTypeAddedAnalysis,skosprovider_rdf/providers.py,148,
Spico197-CatalogExtraction,project,False Positive,WrongTypeAddedAnalysis,doctree/data/convert.py,213,
