project,type,status,spec_name,filename,line,PRs
AliAkhtari78-SpotifyScraper,library,Not on GitHub,InPlaceSortAnalysis,bs4/dammit.py,158,
AlvaroMenduina-ZERN,library,False Positive,InPlaceSortAnalysis,pyparsing/util.py,273,
EDCD-EDMarketConnector,library,False Positive,InPlaceSortAnalysis,coverage/results.py,331,
EDCD-EDMarketConnector,library,False Positive,InPlaceSortAnalysis,coverage/results.py,332,
Nazime-coloring,library,False Positive,InPlaceSortAnalysis,hypothesis/internal/conjecture/floats.py,92,
OnroerendErfgoed-skosprovider_rdf,library,False Positive,InPlaceSortAnalysis,html5lib/_trie/py.py,15,
SigmaHQ-pySigma,library,False Positive,InPlaceSortAnalysis,_pytest/cacheprovider.py,475,
andgineer-hrcomparison,library,False Positive,InPlaceSortAnalysis,pyparsing/unicode.py,63,
andgineer-hrcomparison,library,False Positive,InPlaceSortAnalysis,pyparsing/util.py,210,
benoitc-gunicorn,library,False Positive,InPlaceSortAnalysis,coverage/xmlreport.py,214,
blablatdinov-deltaver,library,False Positive,InPlaceSortAnalysis,deltaver/sorted_package_list.py,45,
brews-bayfox,library,False Positive,InPlaceSortAnalysis,pyparsing/util.py,290,
clbarnes-f_it,library,False Positive,InPlaceSortAnalysis,pytest_benchmark/stats.py,54,
genericmoniker-onenote-dump,library,Not on GitHub,InPlaceSortAnalysis,bs4/dammit.py,94,
mozilla-bleach,library,False Positive,InPlaceSortAnalysis,bleach/_vendor/html5lib/_trie/py.py,15,
AlexanderCollins-TurboDRF,project,False Positive,InvalidComparisonAnalysis,tests/unit/test_router.py,54,
AlexanderCollins-TurboDRF,project,False Positive,InvalidComparisonAnalysis,tests/unit/test_router.py,66,
STIXProject-stix-validator,project,PR Opened,ItemInList,sdv/validators/xml_schema.py,307,https://github.com/STIXProject/stix-validator/pull/87
bastikr-boolean.py,project,PR Opened,ItemInList,boolean/boolean.py,1346,https://github.com/bastikr/boolean.py/pull/124
bastikr-boolean.py,project,PR Opened,ItemInList,boolean/boolean.py,1352,https://github.com/bastikr/boolean.py/pull/124
bastikr-boolean.py,project,PR Opened,ItemInList,boolean/boolean.py,1359,https://github.com/bastikr/boolean.py/pull/124
jessizanelato-desafio-fifa,project,PR Opened,ItemInList,main.py,56,https://github.com/jessizanelato/desafio-fifa/pull/1
jgressier-cfdtools,project,False Positive,ItemInList,cfdtools/gmsh/reader.py,248,
jgressier-cfdtools,project,False Positive,ItemInList,cfdtools/gmsh/reader.py,288,
samdmarshall-pbPlist,project,PR Opened,ItemInList,pbPlist/pbRoot.py,74,https://github.com/samdmarshall/pbPlist/pull/12
Azure-azure-iot-hub-python,library,PR Opened,ItemInList,msrest/universal_http/requests.py,351,https://github.com/Azure/msrest-for-python/pull/266
EigenPro-EigenPro,library,False Positive,ItemInList,torch/_refs/__init__.py,587,
JDArmy-TextWatermark,library,PR Accepted,ItemInList,dynaconf/base.py,306,https://github.com/dynaconf/dynaconf/pull/1360
Parsely-streamparse,library,No Longer Maintan,ItemInList,ply/yacc.py,2292,
RedHatQE-wrapanapi,library,False Positive,ItemInList,pkg_resources/__init__.py,804,
RedHatQE-wrapanapi,library,False Positive,ItemInList,pkg_resources/__init__.py,802,
Snowflake-Labs-geff,library,PR Accepted,ItemInList,botocore/loaders.py,408,https://github.com/boto/botocore/pull/3622
analogdevicesinc-ai8x-synthesis,library,False Positive,ItemInList,torch/_refs/__init__.py,520,
benoitc-gunicorn,library,PR Opened,ItemInList,gevent/_socket3.py,661,https://github.com/gevent/gevent/pull/2157
bohdanbobrowski-blog2epub,library,Not on GitHub,ItemInList,bs4/builder/_htmlparser.py,213,
robotools-extractor,library,PR Opened,ItemInList,defcon/tools/unicodeTools.py,305,https://github.com/robotools/defcon/pull/486
robotools-extractor,library,PR Opened,ItemInList,defcon/tools/unicodeTools.py,313,https://github.com/robotools/defcon/pull/486
tunakasif-torch-frft,library,False Positive,ItemInList,torch/_refs/__init__.py,544,
Toilal-rebulk,project,PR Accepted,ItemInList,rebulk/utils.py,99,https://github.com/Toilal/rebulk/pull/30
nedbat-coveragepy,library,PR Accepted,ItemInList,coverage/control.py,443,https://github.com/nedbat/coveragepy/pull/1932
